Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Expression 1
	205126	208608		+	dnaE	b0184	-	65
208609	208621	209580	209580	+	accA	b0185	-	284
	209679	211820		+	ldcC	b0186	-	23
	211877	212266		+	yaeR	b0187	-	57
	212331	213629		+	tilS	b0188	-	51
	213932	213678		-	rof	b0189	-	56
	214125	213925		-	yaeP	b4406	-	178
	214291	214836		+	yaeQ	b0190	-	49
	214833	215255		+	arfB	b0191	-	27
	215269	215979		+	nlpE	b0192	-	29
	217003	216179		-	yaeF	b0193	-	1
218775	218775	217057	217057	-	proS	b0194	-	510
217305			217345	+	-	predicted RNA	antisense: proS	1731
	219594	218887		-	tsaA	b0195	-	28
	219995	219591		-	rcsF	b0196	-	103
220967	220928	220113	220113	-	metQ	b0197	-	1122
220333			220411	+	-	predicted RNA	antisense: metQ	1528
220578			220752	+	-	predicted RNA	antisense: metQ	2735
	221621	220968	220968	-	metI	b0198	-	487
222696	222645	221614		-	metN	b0199	-	438
	222833	223408		+	gmhB	b0200	-	66
223771			225312	+	rrsH	b0201	-	12778
225338			223787	-	-	predicted RNA	antisense: rrsH	12923
225381			225457	+	ileV	b0202	-	115
225500			225575	+	alaV	b0203	-	60
225759			228662	+	rrlH	b0204	-	125290
228654			225784	-	-	predicted RNA	antisense: rrlH	133620
228756			228875	+	rrfH	b0205	-	243
228928			229004	+	aspU	b0206	-	82
	229167	229970		+	dkgB	b0207	-	15
	230881	229967		-	yafC	b0208	-	7
	231122	231922		+	yafD	b0209	-	123
	231926	232549		+	yafE	b0210	-	14
233964	233955	232597	232597	-	mltD	b0211	-	264
	234782	234027		-	gloB	b0212	-	38
	234816	235538		+	yafS	b0213	-	38
	236002	235535		-	rnhA	b0214	-	11
	236067	236798		+	dnaQ	b0215	-	92
236931			237007	+	aspV	b0216	-	52
	237335	238120		+	yafT	b0217	-	1
	238736	238257		-	ykfM	b4586	-	0
	240189	239419		-	yafV	b0219	-	53
240343	240343	240816	240816	+	ivy	b0220	-	325
	243303	240859		-	fadE	b0221	-	2
243533	243543	244121	244129	+	gmhA	b0222	-	219
	244327	245094		+	yafJ	b0223	-	94
	245805	245065		-	yafK	b0224	-	114
	246239	245961		-	yafQ	b0225	-	9
	246502	246242		-	dinJ	b0226	-	61
	246712	247461		+	yafL	b0227	-	3
	247637	248134		+	rayT	b0228	-	10
	250898	251953		+	dinB	b0231	-	3
	252005	252298		+	yafN	b0232	-	4
	252301	252699		+	yafO	b0233	-	6
	252709	253161		+	yafP	b0234	-	2
255788	255716	254259	254259	-	pepD	b0237	-	325
	255977	256435		+	gpt	b0238	-	189
	256527	257771		+	frsA	b0239	-	66
	260100	259045		-	phoE	b0241	-	1
260380	260388	261491	261491	+	proB	b0242	-	371
261492	261503	262756	262756	+	proA	b0243	-	385
262871			262946	+	thrW	b0244	-	0
	263669	263328		-	ykfI	b0245	-	7
	264007	263690		-	yafW	b0246	-	8
	264247	264026		-	ykfH	b4504	-	4
	264732	264256		-	ykfG	b0247	-	5
	265206	264748		-	yafX	b0248	-	31
	265543	265304		-	ykfF	b0249	-	21
	266087	265620		-	ykfB	b0250	-	24
	266553	266110		-	yafY	b0251	-	11
	268005	267184		-	yafZ	b0252	-	3
	268960	268097		-	ykfA	b0253	-	13
	270182	269289		-	perR	b0254	-	6
	270603	271754		+	insI1	b0256	-	12
272580			272654	+	eyeA	b4690	-	17
	275117	274101		-	insH1	b0259	-	82
	275325	276728		+	mmuP	b0260	-	32
	276715	277647		+	mmuM	b0261	-	43
	278802	277756		-	afuC	b0262	-	1
	279681	279178		-	insB1	b0264	-	25
	279875	279600		-	insA	b0265	-	9
	281983	280829		-	yagA	b0267	-	2
	282278	283186		+	yagE	b0268	-	5
	283201	285168		+	yagF	b0269	-	7
	285395	286777		+	yagG	b0270	-	7
	286789	288399		+	yagH	b0271	-	16
	289162	288404		-	yagI	b0272	-	43
290308	290305	289301	289301	-	argF	b0273	-	428
	291152	290649		-	insB1	b0274	-	18
	291346	291071		-	insA	b0275	-	0
	292948	292322		-	yagK	b0277	-	10
	293918	293220		-	yagL	b0278	-	0
	294799	293945		-	yagM	b0279	-	0
	295579	295139		-	yagN	b0280	-	46
	297096	295696		-	intF	b0281	-	28
297206			297254	+	ptwF	b4629	-	0
	298726	297770		-	paoD	b0283	-	3
	300934	298736		-	paoC	b0284	-	3
	301887	300931		-	paoB	b0285	-	3
	302573	301884		-	paoA	b0286	-	1
302974	302991	303605	303605	+	yagU	b0287	-	778
303208			303175	-	-	predicted RNA	antisense: yagU	2218
303466			303437	-	-	predicted RNA	antisense: yagU	2153
	304182	303853		-	ykgJ	b0288	-	29
	305205	304495		-	ecpE	b0289	-	11
	306817	305174		-	ecpD	b0290	-	6
	309332	306807		-	ecpC	b0291	-	5
	310026	309358		-	ecpB	b0292	-	4
	310671	310084		-	ecpA	b0293	-	28
	311336	310746		-	ecpR	b0294	-	0
	312112	312339		+	ykgL	b0295	-	0
	312514	312374		-	ykgO	b4506	-	0
	312777	312514		-	ykgM	b0296	-	0
	313242	313141		-	ykgR	b4671	-	0
	315291	315590		+	insE1	b0298	-	24
	315587	316453		+	insF1	b0299	-	19
	318319	317726		-	rclC	b0301	-	0
	318567	318331		-	rclB	b0303	-	0
	320001	318676		-	rclA	b0304	-	10
	320227	321081		+	rclR	b0305	-	3
	321608	322327		+	ykgE	b0306	-	9
	322338	323765		+	ykgF	b0307	-	10
	323758	324453		+	ykgG	b0308	-	13
	325364	324696		-	ykgH	b0310	-	0
	327247	325577		-	betA	b0311	-	3
	328733	327261		-	betB	b0312	-	6
	329334	328747		-	betI	b0313	-	0
	329463	331496		+	betT	b0314	-	5
	332371	333459		+	yahA	b0315	-	8
	334433	333501		-	yahB	b0316	-	15
	335022	334525		-	yahC	b0317	-	5
	335280	335885		+	yahD	b0318	-	0
	335925	336788		+	yahE	b0319	-	1
	336778	338325		+	yahF	b0320	-	0
	338325	339743		+	yahG	b0321	-	5
	340165	341115		+	yahI	b0323	-	5
	341125	342507		+	yahJ	b0324	-	32
	342884	343933		+	yahK	b0325	-	130
	344176	344991		+	yahL	b0326	-	0
	345404	345649		+	yahM	b0327	-	0
	346337	345666		-	yahN	b0328	-	1
	346484	346759		+	yahO	b0329	-	67
	348443	346857		-	prpR	b0330	-	3
	348682	349572		+	prpB	b0331	-	0
	350012	351181		+	prpC	b0333	-	4
	351215	352666		+	prpD	b0334	-	1
	352706	354592		+	prpE	b0335	-	7
354899	354922	356181		+	codB	b0336	-	457
	356171	357454	357454	+	codA	b0337	-	550
356978			356963	-	-	predicted RNA	antisense: codA	1955
	358690	357791		-	cynR	b0338	-	6
	358799	359458		+	cynT	b0339	-	14
	359489	359959		+	cynS	b0340	-	11
	359992	361146		+	cynX	b0341	-	12
	361860	361249		-	lacA	b0342	-	2
	363179	361926		-	lacY	b0343	-	4
	366305	363231		-	lacZ	b0344	-	3
	367510	366428		-	lacI	b0345	-	57
	368420	367587		-	mhpR	b0346	-	6
	368611	370275		+	mhpA	b0347	-	4
	370277	371221		+	mhpB	b0348	-	2
	371239	372105		+	mhpC	b0349	-	1
	372115	372924		+	mhpD	b0350	-	3
	372921	373871		+	mhpF	b0351	-	2
	373868	374881		+	mhpE	b0352	-	6
	375459	376670		+	mhpT	b0353	-	8
	376772	377311		+	yaiL	b0354	-	98
	378368	377535		-	frmB	b0355	-	12
	379571	378462		-	frmA	b0356	-	73
	379881	379606		-	frmR	b0357	-	81
	380842	380069		-	yaiO	b0358	-	6
	381351	381716		+	insC1	b0360	-	23
	381674	382579		+	insD1	b0361	-	22
	383935	382739		-	yaiP	b0363	-	3
	384616	384059		-	yaiS	b0364	-	0
	385232	386194		+	tauA	b0365	-	1
	386207	386974		+	tauB	b0366	-	6
	386971	387798		+	tauC	b0367	-	6
	387795	388646		+	tauD	b0368	-	3
	389727	388753		-	hemB	b0369	-	143
	392605	391739		-	insF1	b0372	-	8
	392901	392602		-	insE1	b0373	-	26
	394506	395129		+	yaiV	b0375	-	0
	396287	395130		-	ampH	b0376	-	31
	396639	397859		+	sbmA	b0377	-	15
	397872	398966		+	yaiW	b0378	-	20
	399333	399025		-	yaiY	b0379	-	8
	399593	399805		+	yaiZ	b0380	-	30
	400923	399829		-	ddlA	b0381	-	155
	401386	401646		+	iraP	b0382	-	75
	401747	403162		+	phoA	b0383	-	18
	403281	403601		+	psiF	b0384	-	12
	403703	404818		+	yaiC	b0385	-	6
	405644	404835		-	proC	b0386	-	59
	405764	406222		+	yaiI	b0387	-	32
	406405	406929		+	aroL	b0388	-	191
	406979	407170		+	yaiA	b0389	-	42
	407428	408105		+	aroM	b0390	-	32
	408177	408461		+	yaiE	b0391	-	59
	410019	409108		-	rdgC	b0393	-	72
	410144	411052		+	mak	b0394	-	136
	412481	411297		-	araJ	b0396	-	12
	415753	412607		-	sbcC	b0397	-	19
	416952	415750		-	sbcD	b0398	-	33
	417142	417831		+	phoB	b0399	-	36
	417889	419184		+	phoR	b0400	-	10
	419591	420910		+	brnQ	b0401	-	141
	420986	422359		+	proY	b0402	-	53
	422518	424332		+	malZ	b0403	-	31
	424918	424337		-	acpH	b0404	-	34
	425011	426081		+	queA	b0405	-	29
	426137	427264		+	tgt	b0406	-	178
427265	427287	427619	427646	+	yajC	b0407	-	344
427647	427647	429494	429494	+	secD	b0408	-	313
429505	429505	430476	430476	+	secF	b0409	-	273
	430605	430952		+	yajD	b0410	-	29
432044	432013	431129	431129	-	tsx	b0411	-	290
	432851	432312		-	yajI	b0412	-	6
	433002	433451		+	nrdR	b0413	-	110
	433455	434558		+	ribD	b0414	-	121
434617	434647	435117	435136	+	ribE	b0415	-	259
435137	435137	435556	435556	+	nusB	b0416	-	227
	435634	436611		+	thiL	b0417	-	64
	436589	437107		+	pgpA	b0418	-	115
	438135	437161		-	yajO	b0419	-	89
	440177	438315		-	dxs	b0420	-	90
	441101	440202		-	ispA	b0421	-	85
	441343	441101		-	xseB	b0422	-	88
	441549	442997		+	thiI	b0423	-	64
	443641	443051		-	yajL	b0424	-	92
	444515	443604		-	panE	b0425	-	69
444671	444683	445174	445174	+	yajQ	b0426	-	691
	446666	445302		-	yajR	b0427	-	15
	447705	446815		-	cyoE	b0428	-	20
	448046	447717		-	cyoD	b0429	-	13
	448660	448046		-	cyoC	b0430	-	20
	450641	448650		-	cyoB	b0431	-	8
	451610	450663		-	cyoA	b0432	-	9
	453545	452070		-	ampG	b0433	-	38
	454167	453589		-	yajG	b0434	-	120
	454472	454789		+	bolA	b0435	-	99
455008	455133	456431	456431	+	tig	b0436	-	823
455364			455329	-	-	predicted RNA	antisense: tig	3017
455795			455763	-	-	predicted RNA	antisense: tig	1877
456130			455960	-	-	predicted RNA	antisense: tig	1784
456352			456341	-	-	predicted RNA	antisense: tig	1954
456655	456677	457300	457300	+	clpP	b0437	-	383
457344	457426	458700	458700	+	clpX	b0438	-	467
457891			457879	-	-	predicted RNA	antisense: clpX	1838
458888	458888	461242	461242	+	lon	b0439	-	306
461345	461451	461723	461723	+	hupB	b0440	-	818
461667			461550	-	-	predicted RNA	antisense: hupB	2384
461752			461718	-	-	predicted RNA	antisense: hupB	2730
461864	461915	463786	463786	+	ppiD	b0441	-	241
	463937	464308		+	ybaV	b0442	-	5
	464402	464800		+	fadM	b0443	-	3
	465547	464852		-	queC	b0444	-	50
	467312	465612		-	ybaE	b0445	-	9
	467412	468230		+	cof	b0446	-	6
	468383	468841		+	ybaO	b0447	-	7
	468871	470643		+	mdlA	b0448	-	16
	470636	472417		+	mdlB	b0449	-	12
	472598	472936		+	glnK	b0450	-	3
	472966	474252		+	amtB	b0451	-	11
	475161	474301		-	tesB	b0452	-	31
	475379	475951		+	ybaY	b0453	-	22
	476371	475982		-	ybaZ	b0454	-	52
476448			476561	+	ffs	b0455	-	19
	476672	477025		+	ybaA	b0456	-	13
	478617	477067		-	ylaB	b0457	-	7
	479251	478781		-	ylaC	b0458	-	6
	479918	479367		-	maa	b0459	-	10
	480308	480090		-	hha	b0460	-	41
	480708	480334		-	tomB	b0461	-	43
484416	484403	481254	481254	-	acrB	b0462	-	234
	485619	484426		-	acrA	b0463	-	190
	485761	486408		+	acrR	b0464	-	5
	486536	489898		+	mscK	b0465	-	49
	490271	490110		-	ybaM	b0466	-	28
	490812	490285		-	priC	b0467	-	48
	490882	491259		+	ybaN	b0468	-	21
491398	491412	491963	491963	+	apt	b0469	-	215
	492092	494023		+	dnaX	b0470	-	70
494045	494076	494405		+	ybaB	b0471	-	448
	494405	495010	495010	+	recR	b0472	-	212
495090	495120	496994	496994	+	htpG	b0473	-	229
497155	497175	497819	497819	+	adk	b0474	-	646
497496			497417	-	-	predicted RNA	antisense: adk	1797
	498055	499017		+	hemH	b0475	-	30
	499973	499014		-	aes	b0476	-	1
	500125	501429		+	gsk	b0477	-	52
	503238	501562		-	ybaL	b0478	-	61
	504696	503476		-	fsr	b0479	-	2
	504914	506566		+	ushA	b0480	-	114
	507082	506603		-	ybaK	b0481	-	53
507204			507287	+	chiX	b4585	-	0
	508080	507286		-	ybaP	b0482	-	26
	508218	508559		+	ybaQ	b0483	-	61
	511379	508875		-	copA	b0484	-	106
511641	511641	512573	512575	+	glsA	b0485	-	407
	512576	513868		+	ybaT	b0486	-	171
	513993	514400		+	cueR	b0487	-	145
	514859	514401		-	ybbJ	b0488	-	73
	515773	514856		-	qmcA	b0489	-	43
	515919	516596		+	fetA	b0490	-	50
	516583	517362		+	fetB	b0491	-	18
	518279	517425		-	ybbN	b0492	-	173
	519149	518340		-	ybbO	b0493	-	44
	519765	519139		-	tesA	b0494	-	37
	519733	520419		+	ybbA	b0495	-	56
	520416	522830		+	ybbP	b0496	-	25
	523261	527541		+	rhsD	b0497	-	7
	527581	527949		+	ybbC	b0498	-	25
	531226	530132		-	mnmH	b0503	-	21
	532221	531295		-	allS	b0504	-	2
	532451	532933		+	allA	b0505	-	18
532998	533011	533826	533826	+	allR	b0506	-	255
	533916	535697		+	gcl	b0507	-	7
	535710	536486		+	hyi	b0508	-	1
	536586	537464		+	glxR	b0509	-	1
	537633	539087		+	ybbW	b0511	-	0
	539147	540508		+	allB	b0512	-	3
	540565	541866		+	ybbY	b0513	-	2
	541888	543033		+	glxK	b0514	-	12
	544046	543261		-	allE	b0515	-	19
	545292	544057		-	allC	b0516	-	5
	546363	545314		-	allD	b0517	-	2
	546680	548347		+	fdrA	b0518	-	3
	548357	549616		+	ylbE	b4572	-	1
	549627	550442		+	ylbF	b0520	-	0
	550439	551332		+	ybcF	b0521	-	4
	552594	551527	551527	-	purK	b0522	-	360
553128	553100	552591		-	purE	b0523	-	460
	553940	553218		-	lpxH	b0524	-	60
554476	554437	553943	553943	-	ppiB	b0525	-	655
553958			553969	+	-	predicted RNA	antisense: ppiB	1932
	554611	555996		+	cysS	b0526	-	169
	556553	556032		-	ybcI	b0527	-	22
	556873	556661		-	ybcJ	b0528	-	66
557761	557741	556875	556875	-	folD	b0529	-	255
	558212	558754		+	sfmA	b0530	-	2
	558974	559666		+	sfmC	b0531	-	0
	559697	562300		+	sfmD	b0532	-	1
	562336	563319		+	sfmH	b0533	-	1
	563330	563845		+	sfmF	b0534	-	0
	564480	563848		-	sfmZ	b0535	-	0
564723			564799	+	argU	b0536	-	17
	565978	564815		-	intD	b0537	-	21
	566842	567141		+	insE1	b0540	-	13
	567138	568004		+	insF1	b0541	-	12
	568315	568647		+	emrE	b0543	-	14
	568902	570428		+	ybcK	b0544	-	0
	570893	571444		+	ybcL	b0545	-	4
	571454	572251		+	ybcM	b0546	-	4
	572368	572469		+	ylcH	b4588	-	0
	572466	572921		+	ybcN	b0547	-	2
	572921	573091		+	ninE	b0548	-	0
	573084	573374		+	ybcO	b0549	-	0
	573371	573733		+	rusA	b0550	-	0
	573730	573870		+	ylcG	b4509	-	0
	573956	574339		+	quuD	b0551	-	0
	575753	574737		-	insH1	b0552	-	73
576281			576321	+	-	predicted RNA	-	2218
576398			576409	+	-	predicted RNA	-	1788
576496			576476	-	-	predicted RNA	-	1942
	577398	577613		+	essD	b0554	-	0
